#col1                col2          col3          col4
#star/filter         host/magORul  refshift/unc  Av/corrected  ref
uvot_M2              22.23         0.06          False         #14
uvot_W1              22.20         0.07          False         #14
uvot_U               21.95         0.06          False         #14
fors2_bessell_U      21.95         0.10          False         #14
grond_g              21.86         0.06          False         #14
grond_r              21.48         0.06          False         #14
grond_i              21.15         0.06          False         #14
grond_z              21.46         0.06          False         #14
isaac_Js             21.43         0.06          False         #14
grond_H              21.18         0.14          False         #14
grond_Ks             21.1          -             False         #14
isaac_Ks             21.23         0.11          False         #14
*                    110731A       2.83          0.4874
my_spitzer_irac_ch1  24.32         -             False
wfc3_uvis2_f625w     25.236        0.043         True          #1
*                    120119A       1.728         0.2803
my_spitzer_irac_ch1  22.60         0.07          False
my_spitzer_irac_ch2  22.55         0.05          False
wfc3_ir_f160w        23.480        0.022         True          #1
keck_lris_B          25.41         0.13          False         #36
sdss_g0              25.27         0.05          False         #36
keck_lris_R          24.80         0.17          False         #36
#R                   24.89         0.11          False
keck_lris_I          24.10         0.13          False         #36
sdss_z0              24.12         0.13          False         #36
gemini_niri_K        22.76         0.13          False         #36
wfc3_ir_f125w        23.13         0.04          False         #36
*                    080928_2      1.692         0.1762
my_spitzer_irac_ch1  21.73         0.05          False
my_spitzer_irac_ch2  21.79         0.04          False
wfc3_ir_f160w        21.990        0.010         True          #1
grond_g              25.4          -             False         #22
grond_r              25.6          -             False         #22
grond_i              24.6          -             False         #22
grond_z              24.3          -             False         #22
grond_J              22.0          -             False         #22
grond_H              21.6          -             False         #22
grond_Ks             20.9          -             False         #22
uvot_V               20.49         -             False         #22
uvot_U               22.92         -             False         #22
uvot_B               21.27         -             False         #22
uvot_W1              22.81         -             False         #22
*                    081008_2      1.9685        0.2517
my_spitzer_irac_ch1  23.42         0.15          False
wfc3_ir_f160w        23.591        0.028         True          #1
bessell_R            20.96         0.1           False         #24
*                    050730        3.967         0.1337
my_spitzer_irac_ch1  25.14         -             False
my_spitzer_irac_ch3  23.03         -             False
acs_wfc_f775w        27.9          -             True          #1
isaac_Ks             23.21         -             False         #7
fors2_bessell_R      27.41         -             False         #7
suprime_B            26.21         -             True          #38
focas_V              25.73         -             True          #38
suprime_Rc           26.48         -             True          #38
suprime_sdss_z       25.10         -             True          #38
moircs_J             25.22         -             True          #38
moircs_Ks            25.04         -             True          #38
fors2_bessell_R      27.69         -             True          #38
fors2_bessell_I      24.96         -             True          #38
keck_lris_g          26.16         -             False         #39
keck_lris_Rs         25.96         -             False         #39
magic_sdss_i         26.16         -             False         #39
*                    050908        3.344         0.0663
my_spitzer_irac_ch1  25.24         0.23          False
my_spitzer_irac_ch3  23.15         -             False
acs_wfc_f775w        27.669        0.136         True          #1
#isaac_Ks            23.76         -             False         #7
fors2_bessell_R      27.97         0.45          False         #7
twomass_H            25.56         -             False         #39
*                    060115        3.53          0.3570
*                    060206        4.048         0.0309
my_spitzer_irac_ch1  25.37         -             False
my_spitzer_irac_ch3  23.60         -             False
acs_wfc_f814w        27.647        0.094         True          #1
*                    060526        3.21          0.1763
my_spitzer_irac_ch1  25.18         -             False
my_spitzer_irac_ch3  23.10         -             False
acs_wfc_f775w        27.4          -             True          #1
isaac_Ks             23.96         -             False         #7
fors2_bessell_R      27.23         -             False         #7
fors2_bessell_R      27.31         -             False         #40
*                    060605        3.78          0.1369
*                    060607        3.082         0.0766
my_spitzer_irac_ch1  25.20         -             False
my_spitzer_irac_ch3  23.24         -             False
acs_wfc_f775w        28.9          -             True          #1
isaac_Ks             23.71         -             False         #7
fors2_bessell_R      28.13         -             False         #7
twomass_H            26.06         -             False         #39
keck_lris_g          26.36         -             False         #39
keck_lris_Rs         26.06         -             False         #39
*                    060927        5.6           0.1916
*                    061110B       3.44          0.1044
my_spitzer_irac_ch1  25.19         -             False
my_spitzer_irac_ch3  22.99         -             False
acs_wfc_f775w        27.230        0.105         True          #1
isaac_Ks             23.09         -             False         #7
fors2_bessell_R      26.25         0.29          False         #7
keck_lris_I          24.09         -             False
keck_lris_V          24.82         -             False
